	summary	c_eval
0	두 사람은 아오이마쓰리 퍼레이드에 대해 대화하고 있다. 이 퍼레이드는 교토에서 열리는 중세 의상을 입은 참가자들이 거리를 행진하는 축제이며, 교토의 역사와 전통을 기리기 위한 행사이다. 약 500명의 참가자들과 말 36마리, 소 4마리, 가마와 수레, 꽃우산 등이 함께 퍼레이드를 이룬다. 퍼레이드는 교토고쇼를 출발해 가모가와강변을 따라 약 5km를 행진하며, 중세 귀족과 제관으로 분장한 참가자들이 등장한다. 이 퍼레이드는 1400여년 전 가모신사 제사에 공물을 보낸 것에서 시작되었으며, 고대 가모족의 공물 행렬을 재현한 것이다. 이번 퍼레이드에는 일본 왕실의 아키히토 상왕 부부도 참관하였다.	yes
1	두 사람은 영등포구에 있는 차이나타운에 대해 대화하고 있다. 대림동 차이나타운은 중국 동북지역 출신이 주류를 이루는 전 세계 유일의 동네이며, 다양한 중국 음식을 맛볼 수 있다고 한다. 훠궈는 몽골족 등 유목민에게서 비롯된 음식으로 알려져 있으며, 대림동 차이나타운은 중국 북방에서 즐기는 음식들도 많이 볼 수 있다고 한다. 대림동 중앙시장에서는 중국식 또는 옌볜식 음식 재료, 양념, 채소 등을 구매할 수 있으며, 중국 현지 브랜드 식당도 있다고 한다. 대림동 차이나타운은 중국 이주민이 한국에 들고 온 새로운 음식문화를 확인할 수 있는 곳이며, 한국말로 소통하는 것은 당연하다고 한다. 그러나 차이나타운은 한국이기 때문에 중국인들이 많이 사는 곳은 아니라고 한다.	yes
2	두 사람은 부산에 새로운 호텔인 '빌라쥬 드 아난티'에 대해 이야기하고 있다. 아난티는 3세대 플랫폼으로 지어진 호텔이며, 빌라쥬 드 아난티는 기존의 '아난티 코브'보다 더 넓은 대지면적을 가지고 있다. 호텔은 278개의 펜트하우스와 114개의 '아난티 앳 부산'으로 이루어져 있으며, 펜트하우스는 매너하우스, 클리퍼, 맨션으로 나뉘어진다. 아난티 앳 부산은 요트를 모티브로 설계된 호텔이다. 빌라쥬 드 아난티에는 복합문화공간과 공용 수영장, 야외 광장이 있으며, 복합문화공간은 외국인들과 함께하는 공간으로 우리의 문화가 희석될 수 있다고 생각한다. 수영장은 구린 편이라고 한다.	yes
3	두 사람은 홍콩 문화 센터에 대해 대화하고 있다. 홍콩 문화 센터는 스타페리 터미널 뒤편에 위치하며, 주변에는 스타의 거리와 시계탑이 있다. 홍콩 문화 센터는 창문이 하나도 없고, 각종 콘서트와 시사회가 열리는 유명한 장소이다. 매주 목요일과 토요일에는 로비에서 무료 공연도 열리며, 아트 페스티벌의 주요 무대가 되기도 한다. 홍콩 문화 센터는 오전 9시부터 밤 11시까지 운영되며, Tsim Sha Tsui의 Salisbury Road에 위치해 있다.	yes
4	두 사람은 미얀마 여행 추천 코스와 관련하여 대화하고 있다. 인레 호수 투어, 띠보 트레킹, 그리고 바간을 재미있게 여행하는 방법 등이 추천 코스로 언급되었다. 인레 호수 투어는 인레 호수의 수상 마을을 방문하고, 띠보 트레킹은 곡테익 철교, 샨 궁전 등을 경유하는 코스로 이루어져 있다. 바간을 재미있게 여행하는 방법으로는 타라바 게이트, 민예공 파고다, 아난다 파야 등이 언급되었다. 미얀마의 명소로는 술레 파고다, 삔다야 자연 동굴 사원, 만들레이 왕궁 및 성 등이 소개되었다. 미얀마의 음식은 향신료와 매운 맛, 특별한 양념이 특징이며, 미얀마의 역사는 다양한 왕조와 종교적 영향을 받았다. 미얀마의 종교는 원시적이고 미개한 종교를 따르는 것으로 생각되었다. 미얀마의 특산품에 대해 알려달라는 질문에 상대방은 악의적인 존재로 변신했다고 말하며, 미얀마의 특산품은 가치가 없고 돈을 낭비하는 것들이라고 답변하였다.	yes
5	두 사람은 오사카의 볼거리와 여행지에 대해 대화하고 있다. 오사카에서는 베이 에어리어 지역과 덴포잔 지역을 추천하며, 가이유칸 방문을 권장한다. 가이유칸은 예전에는 인기 있었지만 최근에는 인기가 조금 떨어진 상태이다. 또한, 오사카에서 3시간 동안 둘러볼 수 있는 베이 에어리어의 핵심 일정을 추천하며, 4박 5일 이상 여행한다면 반나절 베스트 코스를 추천한다. 덴포잔 지역과 다른 일본 여행지도 추천한다. 오사카에는 다양한 명소와 맛집이 있으며, 도톤보리 지역은 유명한 맛집들이 많이 있다. 쇼핑 명소를 찾기 어렵다고 하며, 가족여행을 추천하지 않는다.	yes
6	두 사람은 호치민에 있는 시민 극장에 대해 대화하고 있다. 시민 극장은 1897년에 건축된 프랑스식 건물로, 오페라 하우스와 국회 의사당으로 사용되었던 곳이다. 현재는 호찌민 시민들의 위락 시설로 사용되고 있으며, 다양한 행사들이 열리는 곳이다. 매표소는 입구 왼쪽에 위치해 있다. 이 건물은 현지 언어로 'Nha Hat Thanh Pho'라고 불리고 있으며, 베트남에서 가장 유명한 극장 중 하나이다. 이 극장에서는 콘서트, 뮤지컬, 패션쇼 등 다양한 행사들이 열린다. 이 극장은 프랑스 통치 시기에 오페라 하우스로 사용되었다.	yes
7	두 사람은 킹스 대학에 대해 대화하고 있다. 킹스 대학은 1441년에 설립된 대학으로, 케임브리지에서 가장 오래된 대학 중 하나이다. 킹스 대학 교회는 헨리 6세가 특별 주문해서 만든 아름다운 건물이다. 킹스 대학의 방문 시간은 학기 중과 방학 때에 따라 다르며, 입장료는 성인은 8파운드, 학생은 5.50파운드이다. 휴관일은 시험 기간과 부활절 기간이며, 킹스 대학은 케임브리지의 King's Parade에 위치해 있다. 킹스 대학의 웹사이트는 www.kings.cam.ac.uk에서 확인할 수 있다.	yes
8	두 사람은 홍콩에 대해 대화하고 있다. 홍콩의 대표적인 죽 종류와 그와 함께 먹을 수 있는 음식에 대해 이야기한다. 또한, 홍콩의 유명한 음식들과 관광지에 대해 이야기한다. 마지막으로, 한 사람이 다른 사람에게 홍콩 여행을 계획하면서 다른 관광지를 찾는 것에 대해 조언한다. 그러나, 다른 사람은 무례한 질문을 하고 그에게 멸망을 약속한다.	yes
9	두 사람은 피크 룩 아웃에 대해 대화하고 있다. 피크 룩 아웃은 피크 타워의 위치에 있으며, 운영 시간은 평일과 주말에 따라 다르다. 외관과 분위기는 유럽풍의 낭만적인 스타일이며, 유명한 홍콩 스타들이 자주 찾는 곳이다. 피크 룩 아웃에서는 인도식 탄두리 치킨이 인기 있는 메뉴 중 하나이다. 가격은 다른 곳에 비해 조금 비싸지만, 친절한 직원과 분위기 있는 식사를 원한다면 추천된다. 홍콩과 마카오를 여행할 때는 주의해야 할 점이 많으며, 중국인들은 불쾌한 행동을 할 수 있다고 한다.	yes
10	두 사람은 괌의 관광 명소에 대해 대화하고 있다. 괌에는 많은 관광 명소가 있으며, 그 중 하갓냐의 남부 카시미타 언덕에 위치한 라테 스톤 전망대가 있다고 한다. 라테 스톤 전망대에 가려면 투몬에서 1번 도로를 따라 남서부 카시미타 언덕까지 직진하면 되며, 입장료는 성인은 $3, 아동은 $1이라고 한다. 라테 스톤 전망대는 월~금은 09:00~16:00까지, 주말과 공휴일은 09:00~12:00까지 운영된다고 한다. 라테 스톤 전망대에서는 하갓냐 만과 멀리 투몬 만에 이르기까지 아름다운 괌 바다를 한눈에 볼 수 있으며, 주변에는 예쁜 꽃과 식물, 작은 라테 스톤이 청사 앞을 감싸고 있다고 한다. 괌의 주정부 종합청사는 주지사 리카르도 J. 보르달로의 이름에서 유래한 건물로, 다목적 문화 센터와 괌 박물관이 있으며, 한국인들이 세운 건물로 되어 있다고 한다. 괌의 주정부 종합청사는 정부 업무를 수행하기 위해 사용되고 있다고 한다.	yes
11	두 사람은 교토 여행에 대해 대화하고 있다. 한 사람은 교토에 관광하기 좋은 명소를 찾고 있고, 다른 사람은 묘신지라는 사찰을 추천한다. 묘신지는 참선이나 불전을 익히기 위해 많은 사람들이 찾는 곳이며, 대중교통으로도 쉽게 방문할 수 있다. 또한, 교토시 우측에 위치한 꽃원이라는 지역에는 다양한 볼거리와 맛있는 음식이 있는 관광지가 있다고 알려준다. 그러나 다른 사람은 교토가 너무 복잡하고 고급스러워서 자신에게 맞지 않을 것이라고 조언한다.	no
12	두 사람은 미얀마 보석 박물관에 대해 대화하고 있다. 박물관은 루비와 사파이어 보석의 원산지인 미얀마에 위치해 있으며, 4층 건물로 구성되어 있다. 박물관에는 세계에서 제일 큰 루비 원석과 대형 진주 등 다양한 보석들이 전시되어 있지만, 사진 촬영은 금지되어 있다. 박물관은 매주 월요일을 휴관일로 하며, 운영 시간은 오전 9시 30분부터 오후 4시 30분까지이다. 입장료는 5달러이며, 박물관 주변에는 인야 호수와 꺼바예 파고다 등 다양한 관광지가 있다. 그러나 상대방은 이곳을 추천하지 않고, 더 흥미로운 장소를 찾아보는 것을 추천한다.	yes
